nyc_transit/target/compiled/nyc_transit/analyses/trips_duration_grouped_by_borough_zone.sql
select
    Borough,
    Zone,
    count(*),
    avg(duration_min)
from
    "main"."mart"."mart__dim_locations" dl
join
    "main"."mart"."mart__fact_all_taxi_trips" t
on dl.LocationID = t.pulocationid
group by all
order by Borough, Zone;
'Borough','Zone','count_star()','avg(duration_min)'
'Manhattan','Battery Park City',164797,19.438636625666728008
'Manhattan','Bloomingdale',73275,17.322674854998293625
'Manhattan','Central Harlem',277418,16.951690229184841029
'Manhattan','Central Harlem North',379636,16.297727296673656383
'Manhattan','Central Park',145691,16.256769464139857461
'Manhattan','Chinatown',77615,18.950666752560717753
'Manhattan','Clinton East',459173,17.665857966387395805
'Manhattan','Clinton West',230141,17.669072438200927877
'Manhattan','East Chelsea',422629,18.353302778559918095
'Manhattan','East Harlem North',325581,16.477844223096557385
'Manhattan','East Harlem South',316546,17.399411144035937581
'Manhattan','East Village',572276,16.654993394795518212
'Manhattan','Financial District North',217251,20.332265444117634701
'Manhattan','Financial District South',78600,21.267061068702290071
'Manhattan','Flatiron',309776,16.487323097980475239
'Manhattan','Garment District',255116,19.080285046802238468
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',15,16.466666666666665008
'Manhattan','Gramercy',371924,16.419970208967423985
'Manhattan','Greenwich Village North',264173,17.047597597029220395
'Manhattan','Greenwich Village South',240402,17.008123892480096373
'Manhattan','Hamilton Heights',181376,16.824822468242764728
'Manhattan','Highbridge Park',3563,15.906820095425203476
'Manhattan','Hudson Sq',121089,17.582026443359843881
'Manhattan','Inwood',130205,16.252102453822818261
'Manhattan','Inwood Hill Park',8947,17.002682463395551338
'Manhattan','Kips Bay',284781,16.607561599966288667
'Manhattan','Lenox Hill East',330388,18.062060365388575178
'Manhattan','Lenox Hill West',369254,15.862614893812930106
'Manhattan','Lincoln Square East',371643,16.545846417126114147
'Manhattan','Lincoln Square West',235370,16.508437778816333008
'Manhattan','Little Italy/NoLiTa',253023,17.949237816324998817
'Manhattan','Lower East Side',331811,17.509844459647208481
'Manhattan','Manhattan Valley',172501,16.777995489881217139
'Manhattan','Manhattanville',92770,16.575358413280156355
'Manhattan','Marble Hill',40968,14.231107205623901634
'Manhattan','Meatpacking/West Village West',210696,17.859983103618482403
'Manhattan','Midtown Center',483224,18.524887008923396791
'Manhattan','Midtown East',403255,17.507467979318295902
'Manhattan','Midtown North',347001,18.083478145596121322
'Manhattan','Midtown South',375953,17.755892358885287052
'Manhattan','Morningside Heights',177422,17.651706101836300178
'Manhattan','Murray Hill',458614,16.648902999036227611
'Manhattan','Penn Station/Madison Sq West',388236,18.103805417323481918
'Manhattan','Randalls Island',4668,22.017994858611825037
'Manhattan','Roosevelt Island',19646,23.891988190980352868
'Manhattan','Seaport',73303,19.618269375059682602
'Manhattan','SoHo',215251,17.889909919117680913
'Manhattan','Stuy Town/Peter Cooper Village',76075,16.873164640157739313
'Manhattan','Sutton Place/Turtle Bay North',308887,16.016964132514480922
'Manhattan','Times Sq/Theatre District',411519,19.646733200654161066
'Manhattan','TriBeCa/Civic Center',403168,18.449480117469640561
'Manhattan','Two Bridges/Seward Park',170368,18.114786814425244187
'Manhattan','UN/Turtle Bay South',248941,16.732647494787922682
'Manhattan','Union Sq',463665,17.049660854280567434
